file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M83031981,File:Onze Afgevaardigden (1901) - Melchert de Jong.jpg,"Portrait of Melchert de Jong, politician (1840-1914)","Portret van Melchert de Jong, Eerste Kamerlid van 20 september 1904 tot 16 september 1913 en van 19 september 1893 tot 23 juli 1904 liberaal (1840-1914)",Q20734899,Melchert de Jong,politician (1840-1914),Melchert de Jong,Eerste Kamerlid van 20 september 1904 tot 16 september 1913 en van 19 september 1893 tot 23 juli 1904 liberaal (1840-1914),Melchert de Jong; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032404,File:Onze Afgevaardigden (1901) - Nanne Sluis Pzn..jpg,"Portrait of Nanne Sluis Pzn, Dutch politician (1834-1925)","Portret van Nanne Sluis Pzn, Nederlands staatsman en koopman (1834-1925)",Q20017722,Nanne Sluis Pzn.,Dutch politician (1834-1925),Nanne Sluis Pzn.,Nederlands staatsman en koopman (1834-1925),Nanne Sluis Pzn.; Onze Afgevaardigden (1901),Q20017722,Nanne Sluis Pzn.
https://commons.wikimedia.org/entity/M83032484,File:Onze Afgevaardigden (1901) - Nicolaas de Ridder.jpg,"Portrait of Nicolaas de Ridder, Dutch politician (1848-1909)","Portret van Nicolaas de Ridder, Nederlands politicus (1848-1909)",Q27863724,Nicolaas de Ridder,Dutch politician (1848-1909),Nicolaas de Ridder,Nederlands politicus (1848-1909),Nicolaas de Ridder; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032313,File:Onze Afgevaardigden (1901) - Octaaf van Nispen tot Sevenaer.jpg,"Portrait of Octaaf van Nispen tot Sevenaer, Dutch politician (1867-1956)","Portret van Octaaf van Nispen tot Sevenaer, Nederlands politicus (1867-1956)",Q2243261,Octaaf van Nispen tot Sevenaer,Dutch politician (1867-1956),Octaaf van Nispen tot Sevenaer,Nederlands politicus (1867-1956),Octaaf van Nispen tot Sevenaer; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032466,File:Onze Afgevaardigden (1901) - Otto Jacob Eifelanus van Wassenaer van Catwijck.jpg,"Portrait of Otto Jacob Eifelanus van Wassenaer van Catwijck, Dutch politician (1856-1939)","Portret van Otto Jacob Eifelanus van Wassenaer van Catwijck, Nederlands politicus (1856-1939)",Q2643774,Otto Jacob Eifelanus van Wassenaer van Catwijck,Dutch politician (1856-1939),Otto Jacob Eifelanus van Wassenaer van Catwijck,Nederlands politicus (1856-1939),Onze Afgevaardigden (1901); Otto Jacob Eifelanus van Wassenaer van Catwijck,,
https://commons.wikimedia.org/entity/M83032268,File:Onze Afgevaardigden (1901) - Otto Jan Herbert van Limburg Stirum.jpg,"Portrait of Otto Jan Herbert van Limburg Stirum, Dutch politician (1855-1909)","Portret van Otto Jan Herbert van Limburg Stirum, Nederlands politicus (1855-1909)",Q2002044,Otto Jan Herbert van Limburg Stirum,Dutch politician (1855-1909),Otto Jan Herbert van Limburg Stirum,Nederlands politicus (1855-1909),Onze Afgevaardigden (1901); Otto Jan Herbert van Limburg Stirum,,
https://commons.wikimedia.org/entity/M83032147,File:Onze Afgevaardigden (1901) - Petrus Boele Jacobus Ferf.jpg,"Portrait of Petrus Boele Jacobus Ferf, Dutch politician (1854-1916)","Portret van Petrus Boele Jacobus Ferf, Nederlands politicus (1854-1916)",Q2199990,Petrus Boele Jacobus Ferf,Dutch politician (1854-1916),Petrus Boele Jacobus Ferf,Nederlands politicus (1854-1916),Onze Afgevaardigden (1901); Petrus Boele Jacobus Ferf,,
https://commons.wikimedia.org/entity/M83032166,File:Onze Afgevaardigden (1901) - Petrus Franciscus Fruytier.jpg,"Portrait of Petrus Franciscus Fruytier, Dutch politician (1852-1929)","Portret van Petrus Franciscus Fruytier, Nederlands politicus (1852-1929)",Q20971318,Petrus Franciscus Fruytier,Dutch politician (1852-1929),Petrus Franciscus Fruytier,Nederlands politicus (1852-1929),Onze Afgevaardigden (1901); Petrus Franciscus Fruytier,,
https://commons.wikimedia.org/entity/M83032376,File:Onze Afgevaardigden (1901) - Petrus Hendrik Roessingh.jpg,"Portrait of Petrus Hendrik Roessingh, politician (1840-1916)","Portret van Petrus Hendrik Roessingh, Nederlands politicus (1840-1916)",Q2028978,Petrus Hendrik Roessingh,politician (1840-1916),Petrus Hendrik Roessingh,Nederlands politicus (1840-1916),Onze Afgevaardigden (1901); Petrus Hendrik Roessingh,Q2028978,Petrus Hendrik Roessingh
https://commons.wikimedia.org/entity/M83031949,File:Onze Afgevaardigden (1901) - Petrus Josephus Johannus Sophia Marie van der Does de Willebois.jpg,"Portrait of Petrus Josephus Johannus Sophia Marie van der Does de Willebois, Dutch mayor (1843-1937)","Portret van Petrus Josephus Johannus Sophia Marie van der Does de Willebois, Nederlands politicus (1843-1937)",Q2197423,Petrus Josephus Johannus Sophia Marie van der Does de Willebois,Dutch mayor (1843-1937),Petrus van der Does de Willebois,Nederlands politicus (1843-1937),Onze Afgevaardigden (1901); Petrus van der Does de Willebois,,
